Simulated,Estimated,aic,bic,nll,wins,bicp,best
1,1,3524.42638538555,4184.08985869516,1562.21319269278,1,53.2,10
1,2,8384.85286079923,9044.51633410884,3992.42643039962,0,0.6,0
1,3,9384.26436748317,10043.9278407928,4492.13218374159,0,0.4,0
1,4,3646.42869955996,4635.92390952437,1523.21434977998,0,0.8,0
1,5,8544.45971707279,9533.9549270372,3972.2298585364,0,0.1,0
1,6,9556.74029965973,10546.2355096241,4478.37014982986,0,0,0
1,7,3625.55354428063,4615.04875424504,1512.77677214031,0,1,0
1,8,8567.10366298124,9556.59887294565,3983.55183149062,0,0,0
1,9,9568.037674678,10557.5328846424,4484.018837339,0,0,0
1,10,3770.00412558531,5089.33107220452,1485.00206279265,0,0,0
1,11,8727.82819820489,10047.1551448241,3963.91409910245,0,0,0
1,12,9741.81219373341,11061.1391403526,4470.90609686671,0,0,0
1,13,3739.49539273286,4399.15886604247,1669.74769636643,0,39.8,0
1,14,5212.87659466519,5872.54006797479,2406.43829733259,0,1.3,0
1,15,5938.06097120211,6597.72444451171,2769.03048560105,0,1.2,0
1,16,3851.83938846588,4841.3345984303,1625.91969423294,0,0.6,0
1,17,5359.79799823633,6349.29320820074,2379.89899911817,0,0,0
1,18,6114.56372515335,7104.05893511777,2757.28186257668,0,0,0
1,19,4242.65955700609,5232.1547669705,1821.32977850304,0,0.6,0
1,20,5356.48061376935,6345.97582373377,2378.24030688468,0,0,0
1,21,6089.38830478172,7078.88351474613,2744.69415239086,0,0,0
1,22,4220.40077301008,5539.72771962929,1710.20038650504,0,0,0
1,23,5502.02730165662,6821.35424827584,2351.01365082831,0,0,0
1,24,6267.81395262556,7587.14089924477,2733.90697631278,0,0,0
1,25,7521.3192110995,8180.98268440911,3560.65960554975,0,0.3,0
1,26,7681.98570536851,8671.48091533293,3540.99285268426,0,0,0
1,27,7683.06250379797,8672.55771376238,3541.53125189898,0,0,0
1,28,7844.83700164926,9164.16394826848,3522.41850082463,0,0,0
1,29,3675.01430805756,4664.50951802197,1537.50715402878,0,0.1,0
1,30,5090.91938778144,6080.41459774585,2245.45969389072,0,0,0
1,31,5819.24128993795,6808.73649990236,2609.62064496897,0,0,0
1,32,3796.66741263504,5115.99435925426,1498.33370631752,0,0,0
1,33,5222.44368667562,6541.77063329483,2211.22184333781,0,0,0
1,34,5996.97764376454,7316.30459038376,2598.48882188227,0,0,0
1,35,3906.27053500743,5555.42921828145,1453.13526750372,0,0,0
1,36,5414.18344007621,7063.34212335022,2207.0917200381,0,0,0
1,37,6164.89729710633,7814.05598038035,2582.44864855317,0,0,0
1,38,4081.93975842557,6060.93017835439,1440.96987921278,0,0,0
1,39,5566.87622640699,7545.86664633581,2183.43811320349,0,0,0
1,40,6345.21079274364,8324.20121267246,2572.60539637182,0,0,0
2,1,9579.81144381523,10239.4749171248,4589.90572190761,0,3.3,0
2,2,7012.65946398863,7672.32293729824,3306.32973199432,1,53.1,10
2,3,8026.22702999674,8685.89050330635,3813.11351499837,0,4.6,0
2,4,9697.73404600428,10687.2292559687,4548.86702300214,0,0.2,0
2,5,7124.6962869492,8114.19149691361,3262.3481434746,0,0.9,0
2,6,8192.57033956191,9182.06554952632,3796.28516978096,0,0,0
2,7,9703.66332589886,10693.1585358633,4551.83166294943,0,0.1,0
2,8,7111.8141546498,8101.30936461421,3255.9070773249,0,1.3,0
2,9,8163.61124941725,9153.10645938166,3781.80562470863,0,0.1,0
2,10,9825.88131045687,11145.2082570761,4512.94065522844,0,0,0
2,11,7229.21097892505,8548.53792554426,3214.60548946252,0,0,0
2,12,8333.59475091388,9652.9216975331,3766.79737545694,0,0,0
2,13,11021.940138405,11681.6036117146,5310.97006920249,0,1.9,0
2,14,7137.14064714927,7796.80412045887,3368.57032357463,0,19.9,0
2,15,8228.29838327476,8887.96185658437,3914.14919163738,0,5.5,0
2,16,11151.3931822045,12140.8883921689,5275.69659110224,0,0,0
2,17,7263.39408021948,8252.88929018389,3331.69704010974,0,0.4,0
2,18,8386.34101638083,9375.83622634525,3893.17050819042,0,0,0
2,19,13528.0306044557,14517.5258144201,6464.01530222786,0,0,0
2,20,7237.79362066103,8227.28883062545,3318.89681033052,0,1.1,0
2,21,8356.96345840738,9346.45866837179,3878.48172920369,0,0,0
2,22,12732.8186386321,14052.1455852513,5966.40931931606,0,0,0
2,23,7360.24496078716,8679.57190740637,3280.12248039358,0,0,0
2,24,8550.07298600743,9869.39993262665,3875.03649300371,0,0,0
2,25,15724.5294476701,16384.1929209797,7662.26472383503,0,6.7,0
2,26,15875.8039381264,16865.2991480908,7637.90196906319,0,0,0
2,27,15887.3234548553,16876.8186648197,7643.66172742763,0,0.1,0
2,28,16040.9606115085,17360.2875581277,7620.48030575423,0,0,0
2,29,7444.41749405851,8433.91270402292,3422.20874702926,0,0.4,0
2,30,7131.36924167117,8120.86445163559,3265.68462083559,0,0.3,0
2,31,8137.00203808656,9126.49724805097,3768.50101904328,0,0.1,0
2,32,7594.15359430402,8913.48054092324,3397.07679715201,0,0,0
2,33,7238.20219098131,8557.52913760052,3219.10109549066,0,0,0
2,34,8301.06223398875,9620.38918060797,3750.53111699438,0,0,0
2,35,7663.36044732579,9312.51913059981,3331.6802236629,0,0,0
2,36,7331.10655483914,8980.26523811316,3165.55327741957,0,0,0
2,37,8421.47499708651,10070.6336803605,3710.73749854325,0,0,0
2,38,7839.45271926542,9818.44313919425,3319.72635963271,0,0,0
2,39,7496.16789482628,9475.1583147551,3148.08394741314,0,0,0
2,40,8599.12120090025,10578.1116208291,3699.56060045012,0,0,0
3,1,16075.1140291001,16734.7775024097,7837.55701455003,0,3.3,0
3,2,15027.6671152205,15687.3305885301,7313.83355761025,0,12.9,0
3,3,14826.0391324144,15485.702605724,7213.01956620722,1,36.2,10
3,4,16157.3553329638,17146.8505429282,7778.6776664819,0,0,0
3,5,15104.9888924071,16094.4841023715,7252.49444620356,0,1,0
3,6,14927.7272864599,15917.2224964243,7163.86364322995,0,0.6,0
3,7,16160.9536763008,17150.4488862652,7780.4768381504,0,0.2,0
3,8,15115.6599003287,16105.1551102931,7257.82995016432,0,0.8,0
3,9,14928.5609116151,15918.0561215795,7164.28045580756,0,1.3,0
3,10,16263.6718992836,17582.9988459028,7731.83594964178,0,0,0
3,11,15207.3975625831,16526.7245092023,7203.69878129153,0,0,0
3,12,15036.4244641016,16355.7514107209,7118.21223205082,0,0,0
3,13,16741.1059101742,17400.7693834838,8170.55295508712,0,2.3,0
3,14,15025.2379988487,15684.9014721583,7312.61899942436,0,7.6,0
3,15,14930.4865842392,15590.1500575488,7265.24329211958,0,26.5,0
3,16,16829.0892499857,17818.5844599501,8114.54462499283,0,0.2,0
3,17,15128.743540221,16118.2387501854,7264.37177011048,0,0.2,0
3,18,15024.807222308,16014.3024322724,7212.40361115402,0,0.2,0
3,19,19121.1086104981,20110.6038204626,9260.55430524907,0,0,0
3,20,15122.2586269621,16111.7538369265,7261.12931348105,0,0.3,0
3,21,15025.0920305282,16014.5872404927,7212.54601526412,0,0.7,0
3,22,17989.8556350017,19309.1825816209,8594.92781750085,0,0,0
3,23,15218.8245993631,16538.1515459824,7209.41229968157,0,0,0
3,24,15164.7447027375,16484.0716493567,7182.37235136875,0,0.1,0
3,25,21890.8043166191,22550.4677899287,10745.4021583095,0,4.8,0
3,26,22002.8081074517,22992.3033174161,10701.4040537259,0,0.1,0
3,27,22052.3371534466,23041.8323634111,10726.1685767233,0,0.1,0
3,28,22171.836981006,23491.1639276252,10685.918490503,0,0,0
3,29,15256.6576763511,16246.1528863155,7328.32883817555,0,0,0
3,30,15121.8956356415,16111.3908456059,7260.94781782075,0,0,0
3,31,14947.3387232122,15936.8339331766,7173.66936160611,0,0.6,0
3,32,15340.2621166343,16659.5890632535,7270.13105831713,0,0,0
3,33,15205.5047116877,16524.831658307,7202.75235584387,0,0,0
3,34,15048.17970175,16367.5066483693,7124.08985087502,0,0,0
3,35,15435.2228879077,17084.3815711817,7217.61144395385,0,0,0
3,36,15308.9466260242,16958.1053092983,7154.47331301212,0,0,0
3,37,15171.454018002,16820.612701276,7085.727009001,0,0,0
3,38,15547.9324819939,17526.9229019227,7173.96624099696,0,0,0
3,39,15455.379133813,17434.3695537418,7127.68956690649,0,0,0
3,40,15285.3126196408,17264.3030395697,7042.65630982042,0,0,0
4,1,4046.78378859368,4706.44726190329,1823.39189429684,0.3,39,3
4,2,8640.4695332908,9300.1330066004,4120.2347666454,0,0.5,0
4,3,9553.76224105221,10213.4257143618,4576.8811205261,0,0,0
4,4,3603.50064509664,4592.99585506105,1501.75032254832,0.7,15.6,7
4,5,8517.13598474106,9506.63119470547,3958.56799237053,0,0.4,0
4,6,9470.70159366374,10460.1968036282,4435.35079683187,0,0.1,0
4,7,4011.97525575326,5001.47046571767,1705.98762787663,0,1.6,0
4,8,8776.5518735593,9766.04708352371,4088.27593677965,0,0,0
4,9,9688.15447264331,10677.6496826077,4544.07723632166,0,0.1,0
4,10,3714.01719492718,5033.34414154639,1457.00859746359,0,0.1,0
4,11,8694.69264511269,10014.0195917319,3947.34632255635,0,0,0
