Simulated,Estimated,aic,bic,bicp,nll,best,ef,ep,minbic,relbic,maxrelbic,proprelbic,proplogrelbic
1,1,3575.896776,4235.560249,93.1,1587.948388,10,0.990924065,1,4235.560249,0,6513.262454,0,0
1,2,8289.406737,8949.07021,1.3,3944.703368,0,0.000825085,0,4235.560249,4713.509961,6513.262454,0.723678801,0.963172111
1,3,9100.040267,9759.70374,1.4,4350.020133,0,0.000825085,0,4235.560249,5524.143491,6513.262454,0.848137708,0.98124347
1,4,3659.595728,4649.090938,1.5,1529.797864,0,0.000825089,0,4235.560249,413.5306887,6513.262454,0.063490561,0.686063433
1,5,3775.896782,4765.391992,0,1587.948391,0,0.000825085,0,4235.560249,529.8317426,6513.262454,0.081346598,0.7142847
1,6,9250.234103,10239.72931,0.1,4325.117052,0,0.000825083,0,4235.560249,6004.169064,6513.262454,0.921837421,0.990732162
1,7,3669.649319,4659.144529,2.6,1534.82466,0,0.000825094,0,4235.560249,423.58428,6513.262454,0.065034118,0.688798787
1,8,8467.914918,9457.410128,0,3933.957459,0,0.000825083,0,4235.560249,5221.849879,6513.262454,0.801725697,0.974835012
1,9,9277.386302,10266.88151,0,4338.693151,0,0.000825083,0,4235.560249,6031.321263,6513.262454,0.926006177,0.991245968
1,10,3798.519972,5117.846918,0,1499.259986,0,0.000825084,0,4235.560249,882.2866692,6513.262454,0.135460021,0.77235587
1,11,8623.868407,9943.195354,0,3911.934204,0,0.000825083,0,4235.560249,5707.635105,6513.262454,0.876309706,0.984964497
1,12,9429.495756,10748.8227,0,4314.747878,0,0.000825083,0,4235.560249,6513.262454,6513.262454,1,1
2,1,9479.441466,10139.10494,9.3,4539.720733,0,0.000825111,0,7438.155987,2700.948952,3615.787249,0.746987797,0.964395933
2,2,6778.492514,7438.155987,63.1,3189.246257,10,0.990789657,1,7438.155987,0,3615.787249,0,0
2,3,6914.535181,7574.198654,25,3257.267591,0,0.000959456,0,7438.155987,136.0426673,3615.787249,0.037624633,0.599649659
2,4,9599.34592,10588.84113,0.1,4499.67296,0,0.000825086,0,7438.155987,3150.685143,3615.787249,0.871369062,0.983194364
2,5,9679.441482,10668.93669,0,4539.720741,0,0.000825085,0,7438.155987,3230.780705,3615.787249,0.893520687,0.986258403
2,6,6993.168092,7982.663302,0.4,3196.584046,0,0.000825089,0,7438.155987,544.5073145,3615.787249,0.150591635,0.768928535
2,7,9609.571055,10599.06627,0,4504.785528,0,0.000825085,0,7438.155987,3160.910278,3615.787249,0.874196976,0.983589834
2,8,6876.769401,7866.264611,1.3,3138.384701,0,0.000825091,0,7438.155987,428.1086238,3615.787249,0.118399838,0.739573901
2,9,7015.711733,8005.206943,0.7,3207.855867,0,0.000825089,0,7438.155987,567.0509562,3615.787249,0.156826416,0.773880014
2,10,9734.616289,11053.94324,0,4467.308145,0,0.000825083,0,7438.155987,3615.787249,3615.787249,1,1
2,11,6974.444046,8293.770993,0.1,3087.222023,0,0.000825084,0,7438.155987,855.6150055,3615.787249,0.236633117,0.824089716
2,12,7107.231233,8426.55818,0,3153.615617,0,0.000825083,0,7438.155987,988.4021928,3615.787249,0.273357398,0.841698411
