ID,Recipient,Effort,Reward,chosen,Outcome,Success,Force_norm
1,2,2,6,1,10,1,0.45316
1,1,3,6,1,10,1,0.57062
1,2,4,4,1,6,1,0.72082
1,2,5,2,1,2,1,0.79943
1,2,3,4,1,6,1,0.61608
1,1,6,6,1,10,1,1
1,1,2,5,1,8,1,0.47958
1,2,4,3,1,4,1,0.72688
1,2,6,5,1,8,1,0.83356
1,2,5,5,1,8,1,0.83143
1,1,6,2,1,2,1,0.88476
1,1,2,2,1,2,1,0.434
1,2,2,4,1,6,1,0.4959
1,1,6,5,1,8,1,0.98518
1,1,5,5,1,8,1,0.82046
1,2,2,5,1,8,1,0.56425
1,1,4,6,1,10,1,0.70662
1,2,3,3,1,4,1,0.62109
1,2,3,6,1,10,1,0.56558
1,1,2,4,1,6,1,0.49535
1,2,4,2,1,2,1,0.70492
1,1,5,2,1,2,1,0.78795
1,2,6,2,0,1,1,0.031537
1,1,4,3,1,4,1,0.77134
1,2,5,3,1,4,1,0.85914
1,1,2,6,1,10,1,0.6312
1,1,4,4,1,6,1,0.70413
1,2,4,5,1,8,1,0.68809
1,2,6,6,0,1,1,0.041064
1,1,4,2,1,2,1,0.70378
1,1,5,6,1,10,1,0.81363
1,2,4,6,1,10,1,0.7088
1,2,3,5,1,8,1,0.57311
1,1,6,3,1,4,1,0.99813
1,2,2,3,1,4,1,0.51074
1,1,6,4,1,6,1,0.83209
1,1,3,2,1,2,1,0.6023
1,2,2,2,1,2,1,0.49225
1,2,5,6,1,10,1,0.7981
1,1,3,3,1,4,1,0.59357
1,1,4,5,1,8,1,0.69507
1,2,6,4,0,1,1,0.026554
1,1,5,3,1,4,1,0.75473
1,1,3,5,1,8,1,0.59209
1,2,5,4,1,6,1,0.76286
1,1,3,4,1,6,1,0.56537
1,1,2,3,1,4,1,0.49202
1,1,5,4,1,6,1,0.64015
1,2,3,2,1,2,1,0.58796
1,2,6,3,0,1,1,0.035068
1,2,5,5,1,8,1,0.58857
1,2,4,6,1,10,1,0.72807
1,1,2,2,1,2,1,0.48685
1,2,2,6,1,10,1,0.47385
1,2,4,3,1,4,1,0.67693
1,1,6,6,1,10,1,0.92282
1,2,6,4,0,1,1,0.019667
1,1,5,3,1,4,1,0.74229
1,2,2,4,1,6,1,0.48879
1,2,2,3,1,4,1,0.44419
1,1,4,4,1,6,1,0.65326
1,1,5,2,1,2,1,0.51947
1,2,6,5,0,1,1,0.041743
1,2,5,6,1,0,0,0.57529
1,1,3,2,1,2,1,0.57833
1,2,5,4,1,6,1,0.78475
1,1,3,4,1,6,1,0.54196
1,2,3,4,1,6,1,0.59694
1,2,3,5,1,8,1,0.54092
1,2,2,2,1,2,1,0.49009
1,1,6,5,1,8,1,0.84509
1,1,4,3,1,4,1,0.56275
1,1,6,4,0,1,1,0.0092573
1,2,3,2,1,2,1,0.54677
1,1,5,4,1,6,1,0.5244
1,1,5,6,1,10,1,0.72837
1,2,4,4,1,6,1,0.62047
1,2,6,3,0,1,1,0.046045
1,2,4,2,1,2,1,0.68231
1,1,3,5,1,8,1,0.5655
1,1,5,5,1,8,1,0.79468
1,2,6,2,0,1,1,0.02908
1,1,3,6,1,10,1,0.59492
