model,bic,rel.bic,proportion10,proportion19,proportion22
1,6155.27809,1360.467721,,,
2,6554.864998,1760.054629,,,
3,6481.184132,1686.373763,,,
4,5629.640237,834.8298676,,,
5,6036.499811,1241.689442,,,
6,5971.629136,1176.818767,,,
7,4794.810369,0,66,61,74
8,5267.832498,473.0221287,,,
9,5193.562278,398.7519086,,,
10,4774.141994,-20.66837496,34,,
11,5324.644062,529.8336928,,,
12,5330.582594,535.7722249,,,
13,6119.203696,1324.393327,,,
14,6392.47942,1597.669051,,,
15,6281.7455,1486.935131,,,
16,5676.613601,881.8032319,,,
17,5949.95496,1155.144591,,,
18,5897.45484,1102.644471,,,
19,5581.882903,787.0725341,,,
20,4939.841733,145.0313641,,,
21,4908.277936,113.467567,,,
22,4879.471679,84.66131028,,,
23,5206.6458,411.8354315,,,
24,5299.95299,505.1426208,,,
25,9452.671977,4657.861608,,,
26,9089.61657,4294.806201,,,
27,9635.202044,4840.391675,,,
28,9221.114775,4426.304406,,,
29,6184.614714,1389.804345,,,
30,6527.15906,1732.348691,,,
31,6409.361947,1614.551578,,,
32,5730.867462,936.0570927,,,
33,6081.960212,1287.149843,,,
34,6023.619596,1228.809227,,,
35,4788.156486,-6.653883225,,39,
36,5224.762736,429.952367,,,
37,5208.962879,414.1525105,,,
38,4955.800878,160.9905092,,,26
39,5444.820453,650.0100842,,,
40,5356.444428,561.6340587,,,
