"Recipient","Measure","Area","mean","sem","pval","pvalFDR"
"Other","effort RDM","ACCg",0.0255201549023059,0.00881088118020699,"0.005","0.009"
"Other","effort RDM","AI",0.02093058733791,0.00836988831268571,"0.006","0.009"
"Other","effort RDM","dACC",0.0285219738308983,0.00838007243843677,"0.001","0.003"
"Other","effort RDM","TPJ",0.0328299008390542,0.00994895948961507,"0.001","0.003"
"Self","effort RDM","ACCg",0.00210761016253007,0.0086174995482833,"0.61","0.61"
"Self","effort RDM","AI",0.00821334272135187,0.00908746467086198,"0.40","0.42"
"Self","effort RDM","dACC",0.0161098398169336,0.0102639572550631,"0.16","0.17"
"Self","effort RDM","TPJ",0.0241131256234231,0.0100652302031295,"0.026","0.032"
"Other","reward RDM","ACCg",0.00868743765768937,0.00666314859513019,"0.16","0.17"
"Other","reward RDM","AI",0.019908466819222,0.00755870996603325,"0.006","0.009"
"Other","reward RDM","dACC",0.0250448864636508,0.00723180495833734,"0.001","0.003"
"Other","reward RDM","TPJ",0.0159478964970956,0.00718363749718229,"0.027","0.033"
"Self","reward RDM","ACCg",0.0382796456023001,0.00837630215366086,"<0.001","<0.001"
"Self","reward RDM","AI",0.0344974476324591,0.00941608921055484,"<0.001","0.002"
"Self","reward RDM","dACC",0.0408543096872616,0.00895999656898831,"<0.001","<0.001"
"Self","reward RDM","TPJ",0.0255013788652233,0.00918853430270728,"0.005","0.008"
"Other","subjective value RDM","ACCg",0.0378366484773807,0.0136186731615421,"0.009","0.013"
"Other","subjective value RDM","AI",0.0509845684445227,0.0130201937301997,"<0.001","<0.001"
"Other","subjective value RDM","dACC",0.072788241506777,0.0123345641141027,"<0.001","<0.001"
"Other","subjective value RDM","TPJ",0.0439517690547439,0.0105477928108412,"<0.001","<0.001"
"Self","subjective value RDM","ACCg",0.0545561227483424,0.0115764975369989,"<0.001","<0.001"
"Self","subjective value RDM","AI",0.0467018717361967,0.01206953811698,"<0.001","<0.001"
"Self","subjective value RDM","dACC",0.0634841283811536,0.0116193271338264,"<0.001","<0.001"
"Self","subjective value RDM","TPJ",0.0259672592853371,0.0106917947520657,"0.018","0.024"
